Date,Open,High,Low,Close,Adj Close,Volume
2012-02-23,70.406288,70.725037,69.393784,70.050034,48.461040,10640949
2012-02-24,70.631287,71.231285,69.937531,70.293785,48.629665,4441528
2012-02-27,70.687538,70.818787,69.393784,69.665657,48.195122,5074226
2012-02-28,69.768784,70.968788,69.768784,70.162537,48.538876,3464771
2012-02-29,70.781288,71.043785,69.375031,70.293785,48.629665,7024049
2012-03-01,70.312538,71.137535,69.037537,70.078163,48.480503,5724002
2012-03-02,70.659409,70.659409,69.421906,69.609406,48.156216,4152355
2012-03-03,null,null,null,null,null,null
2012-03-05,69.750031,69.796906,66.093781,66.234406,45.821365,13692841
2012-03-06,66.562531,66.918785,64.828156,65.906281,45.594372,7107729
2012-03-07,66.178162,66.178162,64.856285,65.165657,45.081993,4654797
2012-03-09,65.850029,66.206284,65.109406,65.465660,45.289532,8375147
2012-03-12,66.562531,66.656281,65.540657,66.450035,45.970543,3677075
2012-03-13,66.609406,69.693787,66.609406,69.412537,48.020023,8329105
2012-03-14,70.312538,70.593788,69.000031,70.331284,48.655613,7298471
2012-03-15,70.687538,71.212532,69.750031,70.275032,48.616688,11546234
2012-03-16,69.665657,71.062538,68.081284,68.737534,47.553051,5488669
2012-03-19,68.812531,69.543785,67.687531,68.175034,47.163895,5023384
2012-03-20,68.015656,69.018784,67.537537,68.259407,47.222267,2486281
2012-03-21,68.259407,70.087532,67.687531,69.271912,47.922733,5391154
2012-03-22,69.384407,69.778160,67.518784,67.846909,46.936901,6056855
2012-03-23,67.875031,70.246910,67.125031,69.356285,47.981106,4872557
2012-03-26,69.881287,69.918785,67.509407,67.987534,47.034187,5413010
2012-03-27,68.943787,69.131287,67.734406,68.156281,47.150925,6325756
2012-03-28,68.362534,69.515656,68.109406,68.662537,47.501152,3487624
2012-03-29,68.325035,69.918785,67.612534,68.981285,47.721661,8171350
2012-03-30,69.375031,71.887535,69.318787,70.546913,48.804775,7510065
2012-04-02,70.950035,71.465660,69.843781,70.715660,48.921516,6099580
2012-04-03,71.062538,72.281288,71.062538,71.878159,49.725746,9017931
2012-04-04,70.978157,71.156288,69.103157,69.581284,48.136753,6924791
2012-04-09,69.562531,69.562531,67.762535,68.090660,47.105534,3583160
2012-04-10,67.425034,67.500031,60.778156,66.675034,46.126190,29231974
2012-04-11,66.900032,67.743782,65.643784,66.421906,45.951077,10105728
2012-04-12,66.459412,67.500031,66.459412,67.321907,46.573708,2375049
2012-04-13,67.125031,68.653160,66.468781,66.796906,46.210503,4473160
2012-04-16,66.937531,67.331284,65.250031,66.721909,46.158623,1928009
2012-04-17,67.293785,69.318787,65.812531,68.512535,47.397381,4370829
2012-04-18,68.446907,70.490662,68.259407,68.887535,47.656811,4699496
2012-04-19,69.187531,69.375031,67.162537,67.584412,46.755314,2937897
2012-04-20,67.781281,68.306282,66.937531,67.659409,46.807182,5936007
2012-04-23,67.762535,68.231285,65.812531,66.243782,45.827854,2981123
2012-04-24,66.356285,66.946907,64.687531,65.090660,45.030109,5754109
2012-04-25,65.437531,65.456284,62.812531,62.953156,43.551373,11965092
2012-04-26,63.543781,63.543781,60.365654,60.684406,41.981842,16208834
2012-04-27,60.843781,61.987530,60.750031,61.565655,42.591496,5803261
2012-04-30,61.950031,62.775032,61.790653,61.959404,42.863892,6035340
2012-05-02,61.931278,62.193783,60.937531,61.753155,42.721207,3200435
2012-05-03,61.125031,61.621906,60.609406,60.909405,42.137501,5036616
2012-05-04,60.487530,61.031281,59.100029,60.178154,41.631611,6373676
2012-05-07,59.718781,60.656281,59.062531,59.793777,41.365704,8481318
2012-05-08,60.337528,62.371906,60.337528,60.703156,41.994820,11213711
2012-05-09,60.571903,61.312531,59.625031,60.487530,41.845642,7018876
2012-05-10,60.393780,61.078156,59.850029,60.459404,41.826183,4960056
2012-05-11,60.225029,60.871906,59.081280,59.756279,41.339760,4636333
2012-05-14,60.018780,60.712528,59.109406,59.746902,41.333260,4880413
2012-05-15,60.187531,60.187531,58.875031,59.071903,40.866302,3423656
2012-05-16,58.687531,59.812531,57.759403,58.162529,40.237190,5978370
2012-05-17,58.312531,59.053154,57.075027,58.293777,40.327980,4120291
2012-05-18,57.712528,59.962528,56.625027,59.587528,41.223011,4456221
2012-05-21,59.081280,60.468781,59.062531,60.112530,41.586212,3047769
2012-05-22,60.881279,61.106281,58.321903,58.856277,40.717129,4512611
2012-05-23,59.559402,61.687531,59.062531,60.890656,42.124531,9490971
2012-05-24,62.634407,62.803158,60.496906,60.862530,42.105064,9439035
2012-05-25,60.750031,63.937531,60.665653,63.215656,43.732979,4816520
2012-05-28,62.821907,63.356281,61.228153,61.453156,42.513660,3552856
2012-05-29,61.875031,62.428158,61.406281,61.856281,42.792553,7650844
2012-05-30,62.606281,62.625031,60.196903,60.975029,42.182899,9089291
2012-05-31,60.281281,61.312531,59.840652,60.225029,41.664040,11147050
2012-06-01,60.375031,64.528160,58.875031,61.921906,42.837952,15653746
2012-06-04,60.881279,61.687531,59.362530,59.925030,41.456497,7931201
2012-06-05,60.187531,61.246906,60.046906,60.365654,41.761322,3957438
2012-06-06,60.468781,61.687531,60.421906,61.246906,42.370983,7157495
2012-06-07,61.500031,61.500031,59.953156,60.121906,41.592693,6907335
2012-06-08,60.121906,62.625031,60.121906,62.231281,43.051975,7843537
2012-06-11,62.625031,63.750031,62.484406,63.093781,43.648659,9726976
2012-06-12,62.437531,63.703156,62.306282,63.262531,43.765404,8677552
2012-06-13,63.637531,64.059410,62.821907,63.281281,43.778370,7039345
2012-06-14,63.375031,64.500031,62.250031,62.540657,43.266006,6544615
2012-06-15,62.625031,63.525032,62.128155,62.615658,43.317890,5435159
2012-06-18,62.915657,63.375031,60.825031,61.387531,42.468273,3611432
2012-06-19,60.759403,63.459408,60.393780,63.028156,43.603260,5488706
2012-06-20,63.609406,64.378159,63.196907,63.618782,44.011860,6782119
2012-06-21,63.918781,64.106285,63.075031,63.740658,44.096176,4752952
2012-06-22,63.375031,64.153160,62.831280,63.862530,44.180492,3350643
2012-06-25,64.125031,65.606285,63.993782,64.434410,44.576115,7606438
2012-06-26,64.687531,66.693787,64.012535,65.990654,45.652737,7297729
2012-06-27,66.731285,67.443787,66.300034,66.506287,46.009449,7467756
2012-06-28,66.543785,67.125031,64.040657,64.856285,44.867966,10711119
2012-06-29,65.437531,66.562531,64.725029,66.018784,45.672192,9457152
2012-07-02,66.018784,67.050034,65.615654,66.590660,46.067825,3961555
2012-07-03,66.665657,68.559410,66.665657,67.846909,46.936901,7323783
2012-07-04,68.437531,68.718781,67.500031,67.987534,47.034187,4984557
2012-07-05,68.071907,68.193787,66.590660,67.696907,46.833126,4881245
2012-07-06,67.200035,67.678162,66.403160,66.881287,46.268875,2549460
2012-07-09,66.290657,67.809410,65.381279,65.859406,45.561932,3262286
2012-07-10,66.375031,67.584412,65.812531,67.153160,46.456963,5033314
2012-07-11,66.300034,67.865662,66.300034,66.909409,46.288345,3983918
2012-07-12,66.318787,68.025032,66.168785,67.584412,46.755314,6131916
2012-07-13,68.437531,68.896912,67.800034,68.118782,47.124985,3523598
2012-07-16,68.062531,68.315659,66.093781,66.646912,46.106731,1907988
2012-07-17,65.568779,67.293785,64.875031,66.693787,46.139172,2870169
2012-07-18,67.125031,67.125031,66.009407,66.628159,46.093769,1751465
2012-07-19,67.106285,67.687531,66.225037,66.881287,46.268875,2020441
2012-07-20,66.937531,66.937531,65.981285,66.515656,46.015934,1795967
2012-07-23,65.953156,66.037537,63.318783,63.581280,43.985916,4730056
2012-07-24,63.693783,64.668785,63.187531,64.368782,44.530712,3737086
2012-07-25,64.631279,64.875031,63.787533,64.621910,44.705826,6077602
2012-07-26,65.400032,65.400032,63.928158,64.537529,44.647461,4583896
2012-07-27,65.812531,66.337532,63.975033,64.734406,44.783661,1855476
2012-07-30,64.312531,67.312531,63.581280,66.703156,46.145653,4320675
2012-07-31,66.796906,67.293785,65.925034,66.346909,45.899197,4233907
2012-08-01,66.421906,67.312531,65.718781,66.271912,45.847317,2813934
2012-08-02,65.850029,66.562531,65.653160,65.971909,45.639763,1796692
2012-08-03,65.812531,67.406281,65.437531,66.956284,46.320751,4055560
2012-08-06,67.209412,68.925034,67.209412,68.540657,47.416851,8195414
2012-08-07,68.990662,71.418785,68.503159,71.006287,49.122574,10098250
2012-08-08,70.331284,71.250038,68.071907,68.728157,47.546547,11963002
2012-08-09,69.000031,69.909409,68.559410,69.196907,47.870842,3246579
2012-08-10,69.000031,69.993782,68.559410,68.887535,47.656811,3407075
2012-08-13,68.540657,70.312538,68.540657,69.178162,47.857872,6998865
2012-08-14,69.215660,70.593788,68.840660,70.331284,48.655613,6581740
2012-08-16,69.731285,70.087532,68.625031,68.878159,48.385593,4068552
2012-08-17,69.000031,69.440659,67.312531,67.640656,47.516273,3741187
2012-08-21,67.321907,69.506287,67.190659,69.309410,48.688541,2603262
2012-08-22,69.168785,69.356285,68.475037,68.840660,48.359257,3622046
2012-08-23,69.000031,69.365662,68.287537,68.718781,48.273628,1238079
2012-08-24,68.250031,69.000031,68.081284,68.606285,48.194607,3166243
2012-08-27,68.625031,69.543785,68.287537,68.531281,48.141918,3519347
2012-08-28,68.437531,69.365662,68.306282,68.634407,48.214371,4867389
2012-08-29,68.728157,69.271912,67.931282,68.409409,48.056305,3355192
2012-08-30,67.875031,68.334412,66.431282,66.843781,46.956486,8469366
2012-08-31,66.562531,67.275032,65.643784,66.571907,46.765503,6917484
2012-09-03,66.731285,67.312531,65.100029,65.550034,46.047653,3944782
2012-09-04,65.287529,67.453156,64.809410,67.228157,47.226498,3554286
2012-09-05,66.628159,67.968781,66.075035,66.759407,46.897217,4346221
2012-09-06,66.056282,67.996910,66.056282,67.687531,47.549198,2030542
2012-09-07,68.296906,68.971909,67.912537,68.371910,48.029957,5225016
2012-09-08,null,null,null,null,null,null
2012-09-10,68.203156,69.000031,67.453156,68.887535,48.392174,3623939
2012-09-11,68.250031,70.471909,68.250031,69.937531,49.129791,5155021
2012-09-12,69.750031,70.406288,68.362534,68.878159,48.385593,4393208
2012-09-13,69.000031,70.378159,69.000031,69.290657,48.675365,3448974
2012-09-14,72.187538,73.687538,69.937531,70.228157,49.333939,13109316
2012-09-17,70.875038,71.784409,70.415657,70.696907,49.663227,7416289
2012-09-18,70.612534,72.937538,70.612534,72.750038,51.105515,5970125
2012-09-20,70.893784,71.943787,69.506287,70.237534,49.340530,6342652
2012-09-21,70.106285,72.937538,69.675034,72.253159,50.756470,11369892
2012-09-24,72.253159,72.750038,70.818787,72.000038,50.578659,4484509
2012-09-25,72.000038,72.731285,71.718788,71.943787,50.539146,3874318
2012-09-26,71.531288,73.218788,71.306282,72.506287,50.934292,6591026
2012-09-27,71.840660,73.078163,71.343788,71.784409,50.427174,5897682
